@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute global_motion numeric
@attribute motion_L numeric
@attribute motion_R numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
484,'2017/09/14 21:57:47:849',14,0.001563,0,0.003125,0,?,?,?,?
485,'2017/09/14 21:57:47:865',14,0.001563,0,0.003125,0,?,?,?,?
486,'2017/09/14 21:57:47:884',14,0.001563,0,0.003125,0,?,?,?,?
487,'2017/09/14 21:57:47:899',14,0.001563,0,0.003125,0,?,?,?,?
488,'2017/09/14 21:57:47:933',14,0.001563,0,0.003125,0,?,?,?,?
489,'2017/09/14 21:57:47:950',14,0.001563,0,0.003125,0,?,?,?,?
490,'2017/09/14 21:57:47:966',14,0.001563,0,0.003125,0,?,?,?,?
491,'2017/09/14 21:57:47:983',14,0.001563,0,0.003125,0,?,?,?,?
492,'2017/09/14 21:57:55:511',14,0.001563,0.003125,0,0,?,?,?,?
493,'2017/09/14 21:57:55:526',14,0.001563,0.003125,0,0,?,?,?,?
494,'2017/09/14 21:57:55:545',14,0.001563,0.003125,0,0,?,?,?,?
495,'2017/09/14 21:57:55:561',14,0.001563,0.003125,0,0,?,?,?,?
496,'2017/09/14 21:57:55:761',14,0.001563,0.003125,0,0,?,?,?,?
497,'2017/09/14 21:57:55:777',14,0.001563,0.003125,0,0,?,?,?,?
498,'2017/09/14 21:57:55:795',14,0.001563,0.003125,0,0,?,?,?,?
499,'2017/09/14 21:57:55:810',14,0.001563,0.003125,0,0,?,?,?,?
500,'2017/09/14 21:58:06:761',15,0.10625,0.096875,0.115625,1,?,?,?,?
501,'2017/09/14 21:58:06:778',15,0.10625,0.096875,0.115625,1,?,?,?,?
502,'2017/09/14 21:58:06:794',15,0.10625,0.096875,0.115625,1,?,?,?,?
503,'2017/09/14 21:58:06:828',15,0.195313,0.2125,0.178125,1,?,?,?,?
504,'2017/09/14 21:58:06:843',15,0.195313,0.2125,0.178125,1,?,?,?,?
505,'2017/09/14 21:58:06:862',15,0.195313,0.2125,0.178125,1,?,?,?,?
506,'2017/09/14 21:58:06:876',15,0.195313,0.2125,0.178125,1,?,?,?,?
507,'2017/09/14 21:58:06:911',15,0.245312,0.25,0.240625,1,?,?,?,?
508,'2017/09/14 21:58:06:927',15,0.245312,0.25,0.240625,1,?,?,?,?
509,'2017/09/14 21:58:06:944',15,0.245312,0.25,0.240625,1,?,?,?,?
510,'2017/09/14 21:58:06:961',15,0.245312,0.25,0.240625,1,?,?,?,?
511,'2017/09/14 21:58:06:994',15,0.06875,0.059375,0.078125,1,?,?,?,?
512,'2017/09/14 21:58:07:011',15,0.06875,0.059375,0.078125,1,?,?,?,?
513,'2017/09/14 21:58:07:027',15,0.06875,0.059375,0.078125,1,?,?,?,?
514,'2017/09/14 21:58:07:044',15,0.06875,0.059375,0.078125,1,?,?,?,?
515,'2017/09/14 21:58:07:078',15,0.05625,0.059375,0.053125,1,?,?,?,?
516,'2017/09/14 21:58:07:094',15,0.05625,0.059375,0.053125,1,?,?,?,?
517,'2017/09/14 21:58:07:109',15,0.05625,0.059375,0.053125,1,?,?,?,?
518,'2017/09/14 21:58:07:129',15,0.05625,0.059375,0.053125,1,?,?,?,?
519,'2017/09/14 21:58:07:161',15,0.107813,0.075,0.140625,1,?,?,?,?
520,'2017/09/14 21:58:07:176',15,0.107813,0.075,0.140625,1,?,?,?,?
521,'2017/09/14 21:58:07:195',15,0.107813,0.075,0.140625,1,?,?,?,?
522,'2017/09/14 21:58:07:210',15,0.107813,0.075,0.140625,1,?,?,?,?
523,'2017/09/14 21:58:07:262',15,0.15,0.196875,0.103125,1,?,?,?,?
524,'2017/09/14 21:58:07:277',15,0.15,0.196875,0.103125,1,?,?,?,?
525,'2017/09/14 21:58:07:295',15,0.15,0.196875,0.103125,1,?,?,?,?
526,'2017/09/14 21:58:07:311',15,0.15,0.196875,0.103125,1,?,?,?,?
527,'2017/09/14 21:58:07:327',15,0.103125,0.065625,0.140625,1,?,?,?,?
528,'2017/09/14 21:58:07:345',15,0.103125,0.065625,0.140625,1,?,?,?,?
529,'2017/09/14 21:58:07:360',15,0.103125,0.065625,0.140625,1,?,?,?,?
530,'2017/09/14 21:58:07:378',15,0.103125,0.065625,0.140625,1,?,?,?,?
531,'2017/09/14 21:58:07:410',15,0.146875,0.215625,0.078125,1,?,?,?,?
532,'2017/09/14 21:58:07:427',15,0.146875,0.215625,0.078125,1,?,?,?,?
533,'2017/09/14 21:58:07:443',15,0.146875,0.215625,0.078125,1,?,?,?,?
534,'2017/09/14 21:58:07:463',15,0.146875,0.215625,0.078125,1,?,?,?,?
535,'2017/09/14 21:58:07:493',15,0.104687,0.146875,0.0625,1,?,?,?,?
536,'2017/09/14 21:58:07:512',15,0.104687,0.146875,0.0625,1,?,?,?,?
537,'2017/09/14 21:58:07:527',15,0.104687,0.146875,0.0625,1,?,?,?,?
538,'2017/09/14 21:58:07:545',15,0.104687,0.146875,0.0625,1,?,?,?,?
539,'2017/09/14 21:58:07:579',15,0.034375,0.03125,0.0375,1,?,?,?,?
540,'2017/09/14 21:58:07:594',15,0.034375,0.03125,0.0375,1,?,?,?,?
541,'2017/09/14 21:58:07:610',15,0.034375,0.03125,0.0375,1,?,?,?,?
542,'2017/09/14 21:58:07:627',15,0.034375,0.03125,0.0375,1,?,?,?,?
543,'2017/09/14 21:58:07:660',15,0.115625,0.053125,0.178125,1,?,?,?,?
544,'2017/09/14 21:58:07:678',15,0.115625,0.053125,0.178125,1,?,?,?,?
545,'2017/09/14 21:58:07:693',15,0.115625,0.053125,0.178125,1,?,?,?,?
546,'2017/09/14 21:58:07:711',15,0.115625,0.053125,0.178125,1,?,?,?,?
547,'2017/09/14 21:58:47:063',16,0.001563,0.003125,0,0,?,?,?,?
548,'2017/09/14 21:58:47:077',16,0.001563,0.003125,0,0,?,?,?,?
549,'2017/09/14 21:58:47:095',16,0.001563,0.003125,0,0,?,?,?,?
550,'2017/09/14 21:58:47:111',16,0.001563,0.003125,0,0,?,?,?,?
559,'2017/09/14 21:59:20:379',18,0.001563,0,0.003125,0,?,?,?,?
560,'2017/09/14 21:59:20:395',18,0.001563,0,0.003125,0,?,?,?,?
561,'2017/09/14 21:59:20:412',18,0.001563,0,0.003125,0,?,?,?,?
562,'2017/09/14 21:59:20:429',18,0.001563,0,0.003125,0,?,?,?,?
563,'2017/09/14 21:59:20:546',18,0.001563,0,0.003125,0,?,?,?,?
564,'2017/09/14 21:59:20:563',18,0.001563,0,0.003125,0,?,?,?,?
565,'2017/09/14 21:59:20:579',18,0.001563,0,0.003125,0,?,?,?,?
566,'2017/09/14 21:59:20:595',18,0.001563,0,0.003125,0,?,?,?,?
567,'2017/09/14 21:59:20:645',18,0.001563,0,0.003125,0,?,?,?,?
568,'2017/09/14 21:59:20:661',18,0.001563,0,0.003125,0,?,?,?,?
569,'2017/09/14 21:59:20:679',18,0.001563,0,0.003125,0,?,?,?,?
570,'2017/09/14 21:59:20:695',18,0.001563,0,0.003125,0,?,?,?,?
681,'2017/09/14 22:03:01:354',20,0.00625,0.0125,0,?,?,?,?,?
682,'2017/09/14 22:03:01:385',20,0.010937,0.021875,0,?,?,?,?,?
683,'2017/09/14 22:03:01:402',20,0.010937,0.021875,0,?,?,?,?,?
684,'2017/09/14 22:03:01:420',20,0.010937,0.021875,0,?,?,?,?,?
685,'2017/09/14 22:03:01:435',20,0.010937,0.021875,0,?,?,?,?,?
686,'2017/09/14 22:03:01:469',20,0.020312,0.0375,0.003125,?,?,?,?,?
687,'2017/09/14 22:03:01:486',20,0.020312,0.0375,0.003125,?,?,?,?,?
688,'2017/09/14 22:03:01:502',20,0.020312,0.0375,0.003125,?,?,?,?,?
689,'2017/09/14 22:03:01:519',20,0.020312,0.0375,0.003125,?,?,?,?,?
690,'2017/09/14 22:03:01:553',20,0.010937,0.021875,0,?,?,?,?,?
691,'2017/09/14 22:03:01:570',20,0.010937,0.021875,0,?,?,?,?,?
692,'2017/09/14 22:03:01:585',20,0.010937,0.021875,0,?,?,?,?,?
693,'2017/09/14 22:03:01:603',20,0.010937,0.021875,0,?,?,?,?,?
694,'2017/09/14 22:03:01:654',20,0.05625,0.109375,0.003125,?,?,?,?,?
695,'2017/09/14 22:03:01:669',20,0.05625,0.109375,0.003125,?,?,?,?,?
696,'2017/09/14 22:03:01:685',20,0.05625,0.109375,0.003125,?,?,?,?,?
697,'2017/09/14 22:03:01:703',20,0.05625,0.109375,0.003125,?,?,?,?,?
698,'2017/09/14 22:03:01:719',20,0.073437,0.146875,0,?,?,?,?,?
